meeting_id,speaker,da_id,da_type,da_type_id,start_time,end_time,duration_ms,text
ES2002a,B,ES2002a.B.dialog-act.dharshi.107,comment-about-understanding,ami_da_12,539.31,541.17,1860.0,Think it will ?
ES2002a,B,ES2002a.B.dialog-act.dharshi.152,comment-about-understanding,ami_da_12,772.8,774.17,1370.0,Five minutes to end of meeting .
ES2002a,D,ES2002a.D.dialog-act.dharshi.53,comment-about-understanding,ami_da_12,499.16,502.11,2950.0,"Uh , so bas at twel"
ES2002a,D,ES2002a.D.dialog-act.dharshi.178,elicit-comment-understanding,ami_da_13,1056.51,1057.14,630.0,right ?
ES2002b,B,ES2002b.B.dialog-act.dharshi.3,comment-about-understanding,ami_da_12,19.66,20.39,730.0,Sorry ?
ES2002b,D,ES2002b.D.dialog-act.dharshi.29,comment-about-understanding,ami_da_12,477.66,478.27,610.0,Which was that ?
ES2002b,D,ES2002b.D.dialog-act.dharshi.104,elicit-comment-understanding,ami_da_13,818.35,820.34,1990.0,So um does that make sense ?
ES2002c,A,ES2002c.A.dialog-act.dharshi.106,elicit-comment-understanding,ami_da_13,1211.78,1213.07,1290.0,You know
ES2002c,A,ES2002c.A.dialog-act.dharshi.107,elicit-comment-understanding,ami_da_13,1213.07,1213.58,510.0,you know
ES2002c,B,ES2002c.B.dialog-act.dharshi.55,comment-about-understanding,ami_da_12,563.45,564.31,860.0,Ah .
ES2002c,B,ES2002c.B.dialog-act.dharshi.100,comment-about-understanding,ami_da_12,1166.42,1168.04,1620.0,I'll clear one of these things for you .
ES2002c,B,ES2002c.B.dialog-act.dharshi.101,comment-about-understanding,ami_da_12,1168.76,1170.28,1520.0,Just by moving it yeah .
ES2002c,B,ES2002c.B.dialog-act.dharshi.182,comment-about-understanding,ami_da_12,1650.05,1651.01,960.0,A snowman shape ?
ES2002c,B,ES2002c.B.dialog-act.dharshi.183,comment-about-understanding,ami_da_12,1653.14,1653.49,350.0,Uh-huh .
ES2002c,B,ES2002c.B.dialog-act.dharshi.266,comment-about-understanding,ami_da_12,2056.02,2062.56,6540.0,"S so like cur slightly transparent case , so it's yellow , like tinted yellow , but you can maybe see through it ."
ES2002c,D,ES2002c.D.dialog-act.dharshi.69,elicit-comment-understanding,ami_da_13,355.57,356.15,580.0,do you know what I mean ?
ES2002c,D,ES2002c.D.dialog-act.dharshi.94,elicit-comment-understanding,ami_da_13,449.43,450.57,1140.0,You know what a Mac iPod is ?
ES2002c,D,ES2002c.D.dialog-act.dharshi.111,elicit-comment-understanding,ami_da_13,503.75,504.74,990.0,Does that make sense ?
ES2002c,D,ES2002c.D.dialog-act.dharshi.183,comment-about-understanding,ami_da_12,1302.79,1304.31,1520.0,It can't be curved .
ES2002c,D,ES2002c.D.dialog-act.dharshi.219,comment-about-understanding,ami_da_12,1501.81,1502.18,370.0,What's that ?
ES2002c,D,ES2002c.D.dialog-act.dharshi.237,elicit-comment-understanding,ami_da_13,1641.17,1641.81,640.0,Do you know what I mean ?
ES2002d,B,ES2002d.B.dialog-act.dharshi.48,comment-about-understanding,ami_da_12,265.35,267.02,1670.0,"so that's like an okay button , right ."
ES2002d,B,ES2002d.B.dialog-act.dharshi.51,comment-about-understanding,ami_da_12,278.14,279.61,1470.0,like depth of the actual thing .
ES2002d,B,ES2002d.B.dialog-act.dharshi.56,comment-about-understanding,ami_da_12,308.08,309.76,1680.0,Okay jog-dial for volume .
ES2002d,B,ES2002d.B.dialog-act.dharshi.58,comment-about-understanding,ami_da_12,318.84,320.86,2020.0,"Contrast ,"
ES2002d,B,ES2002d.B.dialog-act.dharshi.64,comment-about-understanding,ami_da_12,342.18,343.81,1630.0,Okay channel tuning .
ES2002d,B,ES2002d.B.dialog-act.dharshi.87,comment-about-understanding,ami_da_12,424.94,425.61,670.0,No .
ES2002d,B,ES2002d.B.dialog-act.dharshi.93,comment-about-understanding,ami_da_12,435.99,436.74,750.0,Advanced chip .
ES2002d,B,ES2002d.B.dialog-act.dharshi.111,comment-about-understanding,ami_da_12,503.89,506.05,2160.0,so push button and integrated scroll wheel push
ES2002d,B,ES2002d.B.dialog-act.dharshi.118,comment-about-understanding,ami_da_12,523.59,524.78,1190.0,Four .
ES2002d,B,ES2002d.B.dialog-act.dharshi.124,comment-about-understanding,ami_da_12,542.35,542.93,580.0,no
ES2002d,B,ES2002d.B.dialog-act.dharshi.149,comment-about-understanding,ami_da_12,617.09,617.93,840.0,regular chip .
ES2002d,B,ES2002d.B.dialog-act.dharshi.154,comment-about-understanding,ami_da_12,633.87,634.73,860.0,Twelve buttons .
ES2002d,B,ES2002d.B.dialog-act.dharshi.234,comment-about-understanding,ami_da_12,1034.12,1034.98,860.0,Mm 'kay .
ES2002d,B,ES2002d.B.dialog-act.dharshi.458,comment-about-understanding,ami_da_12,2243.01,2243.56,550.0,You dunno ?
ES2002d,B,ES2002d.B.dialog-act.dharshi.465,comment-about-understanding,ami_da_12,2259.82,2260.57,750.0,Just a logo
ES2002d,C,ES2002d.C.dialog-act.dharshi.3,comment-about-understanding,ami_da_12,114.85,115.84,990.0,"Ah , right ."
ES2002d,C,ES2002d.C.dialog-act.dharshi.34,comment-about-understanding,ami_da_12,273.12,273.83,710.0,How high is it ?
ES2002d,C,ES2002d.C.dialog-act.dharshi.120,comment-about-understanding,ami_da_12,956.75,957.21,460.0,What's that ?
ES2002d,C,ES2002d.C.dialog-act.dharshi.142,elicit-comment-understanding,ami_da_13,1033.93,1035.05,1120.0,okay .
ES2002d,C,ES2002d.C.dialog-act.dharshi.452,comment-about-understanding,ami_da_12,2249.94,2250.62,680.0,What did you call it ?
ES2002d,D,ES2002d.D.dialog-act.dharshi.74,comment-about-understanding,ami_da_12,1092.03,1093.2,1170.0,"Ah , okay"
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.9,comment-about-understanding,ami_da_12,21.97,24.41,2440.0,N_ E_ Z_ .
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.10,comment-about-understanding,ami_da_12,24.41,24.9,490.0,Ebenezer .
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.12,comment-about-understanding,ami_da_12,28.5,30.19,1690.0,"You're the Marketing Expert , okay ."
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.14,comment-about-understanding,ami_da_12,36.52,38.29,1770.0,T_ R_ I_ K_ .
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.16,comment-about-understanding,ami_da_12,41.01,41.95,940.0,Industrial Designer .
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.20,comment-about-understanding,ami_da_12,55.07,57.21,2140.0,Designer . Okay .
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.104,comment-about-understanding,ami_da_12,927.99,928.19,200.0,Yeah
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.107,comment-about-understanding,ami_da_12,930.05,930.25,200.0,yeah .
ES2003a,B,ES2003a.B.dialog-act.vkaraisk.144,elicit-comment-understanding,ami_da_13,1110.46,1111.74,1280.0,Yeah ?
ES2003a,C,ES2003a.C.dialog-act.vkaraisk.43,comment-about-understanding,ami_da_12,710.55,710.77,220.0,okay .
ES2003a,C,ES2003a.C.dialog-act.vkaraisk.70,comment-about-understanding,ami_da_12,1008.75,1010.32,1570.0,"Oh . Okay , ."
ES2003a,C,ES2003a.C.dialog-act.vkaraisk.72,comment-about-understanding,ami_da_12,1109.99,1111.08,1090.0,'Kay .
ES2003a,D,ES2003a.D.dialog-act.vkaraisk.7,comment-about-understanding,ami_da_12,258.29,258.68,390.0,"Oh right ,"
ES2003a,D,ES2003a.D.dialog-act.vkaraisk.9,comment-about-understanding,ami_da_12,263.78,264.31,530.0,Ah-ha .
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.8,comment-about-understanding,ami_da_12,21.55,22.21,660.0,Your username .
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.43,comment-about-understanding,ami_da_12,176.2,176.33,130.0,Oh
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.48,comment-about-understanding,ami_da_12,187.64,188.76,1120.0,Yeah ?
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.66,comment-about-understanding,ami_da_12,539.45,540.03,580.0,Okay .
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.82,comment-about-understanding,ami_da_12,979.25,979.42,170.0,Oh .
