meeting_id,speaker,da_id,da_type,da_type_id,start_time,end_time,duration_ms,text,hdm_label,filter_reason
ES2002b,B,ES2002b.B.dialog-act.dharshi.3,comment-about-understanding,ami_da_12,19.66,20.39,730.0,Sorry ?,positive,strong_keyword_match
ES2002b,D,ES2002b.D.dialog-act.dharshi.29,comment-about-understanding,ami_da_12,477.66,478.27,610.0,Which was that ?,positive,explicit_non_understanding
ES2002c,D,ES2002c.D.dialog-act.dharshi.219,comment-about-understanding,ami_da_12,1501.81,1502.18,370.0,What's that ?,positive,explicit_non_understanding
ES2002d,C,ES2002d.C.dialog-act.dharshi.120,comment-about-understanding,ami_da_12,956.75,957.21,460.0,What's that ?,positive,explicit_non_understanding
ES2003b,B,ES2003b.B.dialog-act.vkaraisk.246,comment-about-understanding,ami_da_12,1849.22,1849.49,270.0,Sorry ?,positive,strong_keyword_match
ES2003b,C,ES2003b.C.dialog-act.vkaraisk.143,comment-about-understanding,ami_da_12,515.23,515.56,330.0,I'm sorry ?,positive,short_question
ES2004a,D,ES2004a.D.dialog-act.s9553330.9,comment-about-understanding,ami_da_12,315.85,316.3,450.0,Sorry ?,positive,strong_keyword_match
ES2004c,A,ES2004c.A.dialog-act.dharshi.54,comment-about-understanding,ami_da_12,1250.61,1253.104,2494.0,"Sorry I didn't get the last part , you're talking of",positive,explicit_non_understanding
ES2005c,A,ES2005c.A.dialog-act.dharshi.217,comment-about-understanding,ami_da_12,1945.51,1945.69,180.0,Hmm ?,positive,strong_keyword_match
ES2005c,A,ES2005c.A.dialog-act.dharshi.232,comment-about-understanding,ami_da_12,2011.6,2011.87,270.0,Huh ?,positive,strong_keyword_match
ES2005c,C,ES2005c.C.dialog-act.dharshi.359,comment-about-understanding,ami_da_12,2258.4,2258.75,350.0,Huh ?,positive,strong_keyword_match
ES2005d,B,ES2005d.B.dialog-act.dharshi.171,comment-about-understanding,ami_da_12,1357.4,1357.73,330.0,Sorry ?,positive,strong_keyword_match
ES2005d,C,ES2005d.C.dialog-act.dharshi.113,comment-about-understanding,ami_da_12,531.9,532.11,210.0,What ?,positive,strong_keyword_match
ES2005d,C,ES2005d.C.dialog-act.dharshi.184,comment-about-understanding,ami_da_12,773.84,774.03,190.0,Huh ?,positive,strong_keyword_match
ES2007a,D,ES2007a.D.dialog-act.dharshi.25,comment-about-understanding,ami_da_12,342.09,342.73,640.0,A what ?,positive,short_question
ES2007b,D,ES2007b.D.dialog-act.dharshi.113,comment-about-understanding,ami_da_12,1301.53,1301.78,250.0,Huh ?,positive,strong_keyword_match
ES2007d,A,ES2007d.A.dialog-act.dharshi.15,comment-about-understanding,ami_da_12,115.696,117.05,1354.0,what button ?,positive,short_question
ES2008b,D,ES2008b.D.dialog-act.vkaraisk.51,comment-about-understanding,ami_da_12,376.98,377.2,220.0,What ?,positive,strong_keyword_match
ES2008d,A,ES2008d.A.dialog-act.vkaraisk.276,comment-about-understanding,ami_da_12,1522.9,1523.22,320.0,What ?,positive,strong_keyword_match
ES2009d,C,ES2009d.C.dialog-act.vkaraisk.209,comment-about-understanding,ami_da_12,2095.25,2095.69,440.0,Huh ?,positive,strong_keyword_match
ES2010c,A,ES2010c.A.dialog-act.dharshi.42,comment-about-understanding,ami_da_12,305.48,305.98,500.0,Sorry ?,positive,strong_keyword_match
ES2010d,D,ES2010d.D.dialog-act.dharshi.86,comment-about-understanding,ami_da_12,462.752,463.43,678.0,What ?,positive,strong_keyword_match
ES2011b,A,ES2011b.A.dialog-act.dharshi.15,comment-about-understanding,ami_da_12,88.39,88.58,190.0,Hm ?,positive,strong_keyword_match
ES2011c,B,ES2011c.B.dialog-act.dharshi.24,comment-about-understanding,ami_da_12,244.8,245.14,340.0,hmm ?,positive,strong_keyword_match
ES2011c,C,ES2011c.C.dialog-act.dharshi.103,comment-about-understanding,ami_da_12,779.51,781.45,1940.0,Hmm ?,positive,strong_keyword_match
ES2011d,B,ES2011d.B.dialog-act.dharshi.42,comment-about-understanding,ami_da_12,553.72,553.92,200.0,Hmm ?,positive,strong_keyword_match
ES2011d,B,ES2011d.B.dialog-act.dharshi.60,comment-about-understanding,ami_da_12,872.26,872.53,270.0,Huh ?,positive,strong_keyword_match
ES2011d,C,ES2011d.C.dialog-act.dharshi.77,comment-about-understanding,ami_da_12,1208.34,1209.39,1050.0,Huh ?,positive,strong_keyword_match
